iter	Passed	Remaining
537	5448	4678
538	5454	4664
539	5459	4650
540	5465	4637
541	5475	4626
542	5484	4616
543	5490	4602
544	5496	4589
545	5503	4575
546	5508	4561
547	5514	4548
548	5520	4535
549	5526	4521
550	5532	4507
551	5537	4494
552	5543	4480
553	5548	4467
554	5554	4453
555	5560	4440
556	5566	4427
557	5572	4414
558	5578	4401
559	5584	4387
560	5590	4374
561	5595	4360
562	5601	4347
563	5606	4333
564	5611	4320
565	5617	4307
566	5623	4294
567	5630	4282
568	5636	4269
569	5641	4256
570	5648	4243
571	5655	4231
572	5660	4218
573	5667	4206
574	5672	4192
575	5677	4179
576	5683	4166
577	5689	4153
578	5694	4140
579	5700	4127
580	5705	4114
581	5711	4102
582	5717	4089
583	5722	4076
584	5728	4063
585	5735	4051
586	5743	4041
587	5749	4028
588	5754	4015
589	5760	4003
590	5766	3990
591	5774	3979
592	5780	3967
593	5787	3955
594	5794	3944
595	5800	3931
596	5807	3920
597	5812	3907
598	5823	3898
599	5831	3887
600	5838	3875
601	5845	3864
602	5856	3855
603	5867	3846
604	5873	3834
605	5878	3822
606	5884	3809
607	5889	3797
608	5895	3785
609	5900	3772
610	5905	3760
611	5911	3747
612	5916	3735
613	5921	3722
614	5927	3710
615	5932	3698
616	5938	3686
617	5944	3674
618	5950	3662
619	5954	3649
620	5961	3638
621	5967	3626
622	5973	3614
623	5978	3602
624	5983	3590
625	5988	3577
626	5994	3566
627	6000	3554
628	6006	3542
629	6011	3530
630	6016	3518
631	6020	3505
632	6025	3493
633	6029	3480
634	6033	3468
635	6037	3455
636	6041	3443
637	6046	3430
638	6051	3418
639	6056	3406
640	6061	3394
641	6065	3382
642	6071	3370
643	6075	3358
644	6079	3346
645	6083	3333
646	6086	3320
647	6090	3308
648	6093	3295
649	6097	3283
650	6100	3270
651	6104	3258
652	6108	3245
653	6111	3233
654	6115	3221
655	6119	3208
656	6122	3196
657	6126	3184
658	6131	3172
659	6135	3160
660	6139	3148
661	6144	3137
662	6149	3125
663	6154	3114
664	6159	3102
665	6164	3091
666	6169	3080
667	6175	3069
668	6180	3057
669	6185	3046
670	6189	3034
671	6194	3023
672	6199	3012
673	6204	3001
674	6209	2989
675	6214	2978
676	6219	2967
677	6224	2956
678	6228	2944
679	6232	2933
680	6237	2921
681	6240	2909
682	6245	2898
683	6248	2886
684	6252	2875
685	6256	2863
686	6260	2852
687	6264	2685	688	6268	2686	6401	2916
687	6409	2906
688	6417	2896
689	6428	2888
690	6437	2878
691	6445	2868
692	6454	2859
693	6462	2849
694	6471	2839
695	6477	2829
696	6490	2821
697	6497	2811
698	6504	2800
699	6512	2790
700	6519	2780
701	6526	2770
702	6533	2760
703	6541	2750
704	6550	2741
705	6557	2730
706	6563	2720
707	6574	2711
708	6581	2701
709	6588	2690
710	6594	2680
711	6607	2672
712	6615	2662
713	6622	2652
714	6630	2642
715	6636	2632
716	6642	2621
717	6650	2611
718	6658	2602
719	6668	2593
720	6680	2585
721	6687	2574
722	6701	2567
723	6709	2557
724	6716	2547
725	6726	2538
726	6737	2529
727	6746	2520
728	6753	2510
729	6762	2501
730	6770	2491
731	6779	2482
732	6789	2472
733	6795	2462
734	6802	2452
735	6809	2442
736	6815	2432
737	6821	2421
738	6830	2412
739	6838	2402
740	6846	2392
741	6856	2384
742	6865	2374
